col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11
-57.0,99.0,11.0,-64.0,73.0,blue,-38.0,-12.0,92.0,-46.0,Kevin Moreno
85.0,-31.0,58.0,42.0,65.0,red,-94.0,-30.0,84.0,6.0,Melissa Mayer
-23.0,83.0,-87.0,-71.0,-82.0,pink,93.0,13.0,58.0,7.0,Marc Collins
7.0,-74.0,85.0,-45.0,35.0,nan,-7.0,-87.0,24.0,51.0,Alexandra Andrade
10.0,-22.0,87.0,-29.0,59.0,gray,69.0,42.0,72.0,92.0,Tommy Hunter
-27.0,52.0,-21.0,-6.0,-88.0,red,-2.0,-85.0,32.0,98.0,Kevin Moreno
79.0,56.0,57.0,-100.0,,green,-65.0,-33.0,-58.0,-54.0,Kevin Moreno
48.0,32.0,-28.0,47.0,29.0,blue,0.0,12.0,99.0,-26.0,Melissa Mayer
-57.0,80.0,-37.0,7.0,6.0,orange,70.0,-54.0,-73.0,-59.0,Timothy Wise
-50.0,-89.0,89.0,-43.0,4.0,gray,-42.0,-26.0,-34.0,21.0,Scott Peck
-4.0,-68.0,-82.0,15.0,-1.0,nan,9.0,78.0,2.0,-100.0,Scott Peck
63.0,5.0,96.0,1.0,82.0,cyan,52.0,-62.0,36.0,96.0,nan
58.0,98.0,16.0,-17.0,-35.0,olive,-28.0,-47.0,-81.0,33.0,Samantha Gilbert
49.0,-68.0,-60.0,41.0,22.0,blue,83.0,-44.0,-22.0,-31.0,Alexandra Andrade
78.0,-45.0,-83.0,41.0,82.0,orange,-16.0,33.0,79.0,-32.0,Melissa Mayer
19.0,-58.0,45.0,-43.0,-92.0,olive,74.0,67.0,-35.0,43.0,Katherine Kennedy
72.0,-63.0,87.0,88.0,1.0,orange,-98.0,4.0,-61.0,66.0,Kevin Moreno
-72.0,60.0,-20.0,69.0,-20.0,olive,-15.0,37.0,-50.0,29.0,Angela Myers
-90.0,-54.0,0.0,-98.0,-91.0,blue,-73.0,-100.0,22.0,-54.0,Timothy Wise
-57.0,41.0,57.0,49.0,-85.0,nan,43.0,-10.0,72.0,24.0,David Griffin
-81.0,35.0,69.0,28.0,36.0,gray,-83.0,78.0,95.0,-48.0,Michelle Lambert
72.0,98.0,-48.0,-16.0,-73.0,green,98.0,-2.0,-24.0,-22.0,Michelle Bell
13.0,51.0,55.0,8.0,86.0,olive,-80.0,91.0,22.0,78.0,nan
88.0,0.0,-20.0,-80.0,-89.0,purple,79.0,99.0,-69.0,-70.0,Katherine Kennedy
-70.0,29.0,-12.0,-61.0,78.0,olive,68.0,-24.0,-18.0,-56.0,Michelle Miller
99.0,-47.0,-87.0,94.0,34.0,red,-39.0,87.0,-6.0,72.0,Katherine Kennedy
83.0,74.0,-99.0,-39.0,81.0,pink,-61.0,-59.0,58.0,-46.0,Michelle Bell
-33.0,5.0,-65.0,65.0,3.0,pink,28.0,88.0,98.0,-60.0,Alexandra Andrade
-26.0,40.0,-1.0,0.0,6.0,green,32.0,11.0,-36.0,-82.0,nan
-16.0,42.0,-87.0,27.0,-60.0,olive,21.0,-95.0,-63.0,43.0,Michelle Bell
-48.0,30.0,80.0,76.0,75.0,brown,67.0,-3.0,88.0,63.0,Michelle Lambert
-82.0,21.0,-86.0,51.0,-92.0,blue,24.0,-68.0,-18.0,-23.0,Gabriel Perez
-50.0,-89.0,63.0,-93.0,23.0,nan,42.0,47.0,-16.0,32.0,Melissa Mayer
-83.0,-43.0,-22.0,28.0,-91.0,olive,-8.0,83.0,-15.0,66.0,Michelle Miller
-24.0,14.0,-88.0,57.0,-63.0,blue,-9.0,-90.0,71.0,-82.0,Scott Peck
0.0,-51.0,-38.0,2.0,48.0,pink,-64.0,31.0,54.0,-59.0,Scott Peck
-57.0,-22.0,-67.0,83.0,3.0,olive,16.0,-88.0,68.0,-88.0,Timothy Wise
60.0,-41.0,-87.0,23.0,16.0,blue,79.0,-17.0,-55.0,-4.0,Colton Willis
7.0,79.0,74.0,-19.0,7.0,purple,-78.0,45.0,93.0,6.0,Aaron Hutchinson
-10.0,-94.0,21.0,-71.0,64.0,blue,16.0,-42.0,60.0,40.0,Marc Collins
-92.0,-65.0,-90.0,53.0,-7.0,brown,76.0,21.0,86.0,-30.0,Melissa Mayer
94.0,87.0,58.0,87.0,6.0,green,67.0,55.0,-78.0,49.0,Sean Atkinson DDS
-78.0,29.0,97.0,-59.0,26.0,pink,59.0,-9.0,46.0,51.0,Sean Atkinson DDS
-45.0,-72.0,-7.0,22.0,-4.0,cyan,-4.0,-75.0,20.0,-29.0,Samantha Gilbert
60.0,36.0,-28.0,8.0,63.0,cyan,51.0,19.0,44.0,-58.0,Roy Chandler
6.0,2.0,-71.0,15.0,-38.0,green,57.0,90.0,47.0,92.0,Aaron Hutchinson
45.0,-73.0,-84.0,-61.0,54.0,olive,75.0,17.0,-53.0,73.0,nan
73.0,14.0,-44.0,-13.0,-78.0,nan,85.0,61.0,-22.0,83.0,David Griffin
-98.0,-31.0,-32.0,72.0,-22.0,nan,-17.0,100.0,-98.0,-86.0,Gabriel Perez
-6.0,32.0,0.0,99.0,80.0,pink,96.0,88.0,-11.0,28.0,Roy Chandler
-61.0,10.0,-96.0,32.0,-2.0,brown,-94.0,-33.0,-7.0,-12.0,Nancy Strickland
85.0,9.0,-81.0,35.0,54.0,pink,-90.0,-25.0,8.0,80.0,Tommy Hunter
-98.0,-61.0,26.0,67.0,-97.0,green,28.0,-46.0,21.0,53.0,Angela Myers
-34.0,-18.0,-11.0,-98.0,-74.0,nan,-43.0,-63.0,34.0,-98.0,Gabriel Perez
11.0,76.0,-50.0,98.0,-37.0,nan,58.0,-49.0,20.0,-11.0,Sean Atkinson DDS
53.0,-67.0,-85.0,-8.0,-38.0,pink,-66.0,-13.0,-96.0,-34.0,Sean Atkinson DDS
-88.0,-84.0,-72.0,40.0,68.0,gray,91.0,-22.0,18.0,10.0,Tommy Hunter
0.0,-37.0,9.0,100.0,92.0,nan,,-60.0,63.0,-46.0,Michelle Miller
-41.0,-8.0,30.0,-26.0,51.0,pink,27.0,10.0,-37.0,59.0,Aaron Hutchinson
-70.0,-10.0,33.0,-41.0,-2.0,cyan,-4.0,-49.0,81.0,-20.0,Roy Chandler
-3.0,-55.0,42.0,-30.0,-77.0,red,-66.0,-40.0,65.0,3.0,Michelle Lambert
-19.0,64.0,54.0,40.0,-40.0,cyan,-19.0,-41.0,45.0,-54.0,Aaron Hutchinson
95.0,-6.0,13.0,-15.0,-87.0,nan,-38.0,-48.0,41.0,73.0,Gabriel Perez
68.0,-32.0,-45.0,-98.0,89.0,purple,-99.0,-44.0,-70.0,64.0,Kevin Moreno
-39.0,-35.0,88.0,32.0,-53.0,red,-40.0,40.0,85.0,-50.0,Timothy Wise
30.0,66.0,34.0,-71.0,3.0,blue,-76.0,-48.0,-29.0,93.0,Aaron Hutchinson
-77.0,28.0,23.0,-21.0,25.0,pink,53.0,79.0,-26.0,74.0,Scott Peck
-67.0,21.0,-40.0,-82.0,-36.0,blue,-99.0,-5.0,-29.0,6.0,Melissa Mayer
-31.0,-62.0,-81.0,-47.0,79.0,green,-21.0,-87.0,-94.0,-62.0,Alexandra Andrade
45.0,-19.0,-69.0,-4.0,-89.0,orange,-75.0,-91.0,-89.0,31.0,David Griffin
96.0,-28.0,-60.0,-25.0,-95.0,cyan,-98.0,34.0,30.0,83.0,Nancy Strickland
59.0,-81.0,71.0,-79.0,-7.0,pink,15.0,9.0,82.0,73.0,Tommy Hunter
-96.0,-80.0,93.0,96.0,16.0,blue,96.0,89.0,47.0,-52.0,Alexandra Andrade
75.0,-95.0,-31.0,89.0,34.0,nan,-53.0,24.0,-65.0,-51.0,Timothy Wise
-88.0,71.0,40.0,-88.0,-75.0,gray,15.0,96.0,-82.0,-64.0,Colton Willis
90.0,-69.0,-39.0,65.0,46.0,blue,64.0,6.0,96.0,,Michelle Bell
